pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
185.897552,-105.000951,180.0,top,C1,,CP_Radial_D5.0mm_P2.50mm,15uF,tht,True
179.156213,-102.879759,-90.0,top,C2,,CP_Radial_D5.0mm_P2.50mm,15uF,tht,True
174.597572,-94.832417,180.0,bottom,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt,True
175.509227,-102.225531,0.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.47uF,smt,True
183.607426,-112.36404,0.0,top,C5,,CP_Radial_D8.0mm_P5.00mm,120uF,tht,True
174.897429,-105.450592,0.0,bottom,D2,,SODFL5226X100N,VSSAF3N50-M3_6A,smt,True
177.8,-91.44,-90.0,top,IC1,,LM2670SX33NOPB,LM2670SX-3.3_NOPB,smt,True
188.7477,-101.4702,180.0,top,J1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
176.620134,-111.214546,0.0,top,L2,,SPM7054VT,SPM7054VT-330M-D,smt,True
179.780993,-93.435911,180.0,bottom,R1,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1K,smt,True
187.506271,-86.965448,90.0,top,RV2,,Potentiometer_Bourns_3296W_Vertical,500k,tht,True
