pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
188.788945,-89.705684,180.0,top,C1,,CP_Radial_D5.0mm_P2.50mm,15uF,tht,True
183.049019,-103.113785,-90.0,top,C2,,CP_Radial_D5.0mm_P2.50mm,15uF,tht,True
174.992376,-92.796435,180.0,bottom,C3,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt,True
173.796818,-105.73259,-90.0,bottom,C4,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.47uF,smt,True
183.607426,-112.36404,0.0,top,C5,,CP_Radial_D8.0mm_P5.00mm,120uF,tht,True
178.549583,-103.326798,0.0,bottom,D2,,SODFL5226X100N,VSSAF3N50-M3_6A,smt,True
177.8,-91.44,-90.0,top,IC1,,LM2670SX33NOPB,LM2670SX-3.3_NOPB,smt,True
188.7477,-101.4702,180.0,top,J1,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,tht,True
176.561822,-110.983767,0.0,top,L2,,SPM7054VT,SPM7054VT-330M-D,smt,True
180.237992,-92.784981,180.0,bottom,R1,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,4.7K,smt,True
